iter	MultiClass
0	1.338191269
1	1.316701645
2	1.291421382
3	1.262290633
4	1.221367036
5	1.193093918
6	1.160164976
7	1.140015367
8	1.116202192
9	1.090765271
10	1.061563554
11	1.034720881
12	1.01713108
13	0.9984431249
14	0.9775781252
15	0.9614192615
16	0.9473281867
17	0.9258215563
18	0.9077224572
19	0.8905206574
20	0.8738002402
21	0.8611646094
22	0.8425018141
23	0.8241303769
24	0.8128910994
25	0.7943109321
26	0.7825479821
27	0.7726094632
28	0.761371169
29	0.7498182609
30	0.7397005344
31	0.7286588591
32	0.7226021261
33	0.7120318136
34	0.7031214768
35	0.6899481983
36	0.6771479014
37	0.6672901363
38	0.6589874289
39	0.6487537646
40	0.6394217068
41	0.6269993431
42	0.6167901291
43	0.6078966951
44	0.6006746045
45	0.5922347073
46	0.5835167323
47	0.5766917066
48	0.5704664995
49	0.5620287716
50	0.5543450215
51	0.5488362687
52	0.5416324521
53	0.5359250697
54	0.5291720165
55	0.521067197
56	0.5149267228
57	0.510898745
58	0.5057546283
59	0.5004968028
60	0.4959336374
61	0.4915177255
62	0.4866051422
63	0.4807268035
64	0.4749377778
65	0.4701364811
66	0.4648409421
67	0.4587674313
68	0.455218484
69	0.4489696631
70	0.4435246025
71	0.4403984845
72	0.4360603166
73	0.4331248442
74	0.4309040905
75	0.4277273008
76	0.4234179965
77	0.4202602934
78	0.4154825019
79	0.4130994146
80	0.4082074573
81	0.4053286135
82	0.4020397588
83	0.4001023906
84	0.3970294026
85	0.3919891207
86	0.3894149466
87	0.386340602
88	0.3845251757
89	0.3812662858
90	0.3785197479
91	0.3754827705
92	0.3712632632
93	0.3685595952
94	0.3666147079
95	0.3645007288
96	0.3615857866
97	0.3586335158
98	0.3565780725
99	0.3540462583
100	0.3520848158
101	0.3504414361
102	0.3479736904
103	0.3456948865
104	0.3437705547
105	0.3405331879
106	0.3390175243
107	0.3372322092
108	0.3340121603
109	0.3326371485
110	0.3310819945
111	0.3275528433
112	0.3263367772
113	0.3248349115
114	0.3233588986
115	0.3205477291
116	0.3178708135
117	0.3162003837
118	0.3147231691
119	0.3127105247
120	0.310595349
121	0.3079259116
122	0.3061302893
123	0.3041326207
124	0.3020991346
125	0.3004211404
126	0.2986093382
127	0.2967429936
128	0.2953950119
129	0.2936507025
130	0.2923082012
131	0.2894475361
132	0.287976407
133	0.2862279437
134	0.2845477346
135	0.2832475906
136	0.2817433601
137	0.279536178
138	0.27635218
139	0.2751797502
140	0.2740793342
141	0.2723885189
142	0.2698358003
143	0.2683817824
144	0.266121262
145	0.2644833393
146	0.2631874376
147	0.2615846923
148	0.2594840287
149	0.2575842738
150	0.2566959932
151	0.2550216338
152	0.2532727401
153	0.2510197664
154	0.2492069715
155	0.2478551802
156	0.2458785612
157	0.2446680119
158	0.2435881865
159	0.2414882509
160	0.2401072656
161	0.2388785995
162	0.2376527807
163	0.2360074908
164	0.2342677986
165	0.2325372835
166	0.2311336884
167	0.2299820224
168	0.228247566
169	0.2268950766
170	0.2249937896
171	0.2235413119
172	0.2218153167
173	0.2207076524
174	0.2195831349
175	0.2176666487
176	0.2162435307
177	0.2150590464
178	0.213833972
179	0.2123424635
180	0.2112651149
181	0.2098970813
182	0.2082785453
183	0.2068671104
184	0.2053894259
185	0.2043928885
186	0.2028119167
187	0.2021458555
188	0.2013530275
189	0.1998748634
190	0.1987990533
191	0.1973631553
192	0.1967645623
193	0.1961379664
194	0.1946588651
195	0.1938918905
196	0.1926050355
197	0.191782584
198	0.191343782
199	0.1902282141
200	0.1892788311
201	0.1885641458
202	0.1870936561
203	0.1861526675
204	0.1854401142
205	0.1847961393
206	0.1840874685
207	0.182789547
208	0.1817762474
209	0.1807661801
210	0.1801143519
211	0.1793515011
212	0.1787036808
213	0.1776416911
214	0.1765518408
215	0.1754498785
216	0.1744461715
217	0.1734304888
218	0.1725046665
219	0.1717420568
220	0.1710281837
221	0.1702622106
222	0.1695466636
223	0.1690789524
224	0.1686198558
225	0.167977994
226	0.1673770175
227	0.1666822782
228	0.1658442341
229	0.164930477
230	0.1643685526
