iter	Passed	Remaining
0	17	17451
1	32	16358
2	49	16508
3	66	16438
4	82	16436
5	99	16473
6	116	16546
7	133	16545
8	150	16621
9	168	16647
10	184	16616
11	201	16621
12	220	16734
13	237	16729
14	254	16697
15	271	16681
16	288	16673
17	307	16771
18	327	16888
19	346	16984
20	366	17069
21	387	17205
22	410	17433
23	429	17466
24	448	17481
25	466	17489
26	486	17526
27	503	17480
28	521	17447
29	537	17392
30	555	17365
31	572	17317
32	589	17261
33	606	17225
34	623	17188
35	639	17132
36	656	17098
37	674	17081
38	691	17030
39	707	16976
40	724	16948
41	742	16938
42	770	17145
43	802	17445
44	824	17505
45	841	17452
46	858	17403
47	875	17365
48	892	17322
49	910	17299
50	927	17267
51	945	17240
52	961	17186
53	980	17175
54	999	17176
55	1017	17151
56	1033	17096
57	1051	17076
58	1068	17037
59	1084	16995
60	1101	16955
61	1118	16915
62	1134	16875
63	1152	16859
64	1170	16831
65	1187	16803
66	1205	16782
67	1222	16756
68	1241	16747
69	1259	16728
70	1279	16738
71	1301	16773
72	1321	16782
73	1342	16798
74	1361	16797
75	1382	16812
76	1403	16826
77	1423	16824
78	1441	16807
79	1462	16816
80	1478	16776
81	1496	16753
82	1513	16725
83	1530	16691
84	1547	16662
85	1565	16642
86	1582	16610
87	1599	16576
88	1615	16535
89	1630	16491
90	1647	16457
91	1664	16431
92	1681	16395
93	1697	16364
94	1714	16331
95	1730	16293
96	1747	16265
97	1763	16231
98	1781	16210
99	1796	16168
100	1813	16140
101	1829	16102
102	1844	16065
103	1861	16041
104	1877	16006
105	1895	15983
106	1911	15951
107	1926	15912
108	1943	15883
109	1958	15849
110	1974	15813
111	1991	15787
112	2007	15757
113	2023	15729
114	2039	15698
115	2056	15671
116	2072	15642
117	2088	15612
118	2104	15581
119	2121	15556
120	2137	15528
121	2154	15508
122	2173	15495
123	2192	15486
124	2208	15460
125	2225	15436
126	2245	15433
127	2263	15422
128	2284	15424
129	2303	15416
130	2323	15411
131	2341	15396
132	2361	15391
133	2382	15399
134	2400	15380
135	2418	15364
136	2437	15351
137	2455	15338
138	2474	15327
139	2491	15302
